Keyword,Category,Definition,Notes,Cards
abundance-awareness,Money,Represents the quality or energy of abundance-awareness in cardology practice,Core cardology keyword representing essential card energy,2 of Clubs
abundance; blessings; opulence; success; stewardship,Money,Compound keyword representing multiple related energies: abundance; blessings; opulence; success; stewardship. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,10 of Diamonds
adventure,Other,Represents the quality or energy of adventure in cardology practice,Core cardology keyword representing essential card energy,5 of Hearts
ambition,Power,Represents the quality or energy of ambition in cardology practice,Core cardology keyword representing essential card energy,"10 of Hearts,Ace of Spades,3 of Spades,8 of Spades,10 of Spades"
attraction,Love,Magnetism that draws people/experiences toward you,Core cardology keyword representing essential card energy,"Ace of Hearts,5 of Hearts"
authority,Power,Represents the quality or energy of authority in cardology practice,Core cardology keyword representing essential card energy,"King of Clubs,8 of Spades,Queen of Spades,King of Spades"
beauty,Love,Represents the quality or energy of beauty in cardology practice,Core cardology keyword representing essential card energy,Queen of Hearts
beauty + order,Love,Represents the quality or energy of beauty + order in cardology practice,Core cardology keyword representing essential card energy,6 of Hearts
business leadership; mastery of value; authority; ethics; enterprise,Money,Compound keyword representing multiple related energies: business leadership; mastery of value; authority; ethics; enterprise. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,King of Diamonds
career choice,Other,Represents the quality or energy of career choice in cardology practice,Core cardology keyword representing essential card energy,10 of Clubs
change,Other,Represents the quality or energy of change in cardology practice,Core cardology keyword representing essential card energy,5 of Clubs
change of heart,Love,Represents the quality or energy of change of heart in cardology practice,Core cardology keyword representing essential card energy,5 of Hearts
charm,Love,Represents the quality or energy of charm in cardology practice,Core cardology keyword representing essential card energy,Queen of Hearts
choice,Other,Represents the quality or energy of choice in cardology practice,Core cardology keyword representing essential card energy,3 of Hearts
commitment-through-care,Other,Represents the quality or energy of commitment-through-care in cardology practice,Core cardology keyword representing essential card energy,4 of Hearts
community love,Love,Represents the quality or energy of community love in cardology practice,Core cardology keyword representing essential card energy,10 of Hearts
compassion,Love,Represents the quality or energy of compassion in cardology practice,Core cardology keyword representing essential card energy,9 of Hearts
completion,Healing,The end of a cycle that must be acknowledged to move forward,Core cardology keyword representing essential card energy,9 of Hearts
completion cycle,Healing,Represents the quality or energy of completion cycle in cardology practice,Core cardology keyword representing essential card energy,9 of Clubs
control-vs-care,Power,Represents the quality or energy of control-vs-care in cardology practice,Core cardology keyword representing essential card energy,8 of Hearts
conversation,Clarity,Represents the quality or energy of conversation in cardology practice,Core cardology keyword representing essential card energy,2 of Clubs
creativity,Power,Represents the quality or energy of creativity in cardology practice,Core cardology keyword representing essential card energy,"10 of Hearts,3 of Clubs"
curiosity,Other,Drive to explore and learn,Core cardology keyword representing essential card energy,"Ace of Clubs,5 of Clubs"
debate,Other,Represents the quality or energy of debate in cardology practice,Core cardology keyword representing essential card energy,4 of Clubs
desire,Love,"The pull toward connection, affection, and emotional fulfillment",Core cardology keyword representing essential card energy,Ace of Hearts
desire; money drive; love drive; networking; values,Love,Compound keyword representing multiple related energies: desire; money drive; love drive; networking; values. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,Ace of Diamonds
devotion,Love,Represents the quality or energy of devotion in cardology practice,Core cardology keyword representing essential card energy,"2 of Hearts,Jack of Hearts,King of Hearts"
diplomacy,Other,Represents the quality or energy of diplomacy in cardology practice,Core cardology keyword representing essential card energy,2 of Hearts
discernment,Other,Represents the quality or energy of discernment in cardology practice,Core cardology keyword representing essential card energy,7 of Hearts
discipline,Power,Sustained focus and willpower to follow through,Core cardology keyword representing essential card energy,"Ace of Spades,2 of Spades,3 of Spades,7 of Spades,8 of Spades,10 of Spades,Jack of Spades,Queen of Spades"
divine discontent,Other,Represents the quality or energy of divine discontent in cardology practice,Core cardology keyword representing essential card energy,Ace of Clubs
doubt,Other,Represents the quality or energy of doubt in cardology practice,Core cardology keyword representing essential card energy,7 of Clubs
emotional experimentation,Love,Represents the quality or energy of emotional experimentation in cardology practice,Core cardology keyword representing essential card energy,5 of Hearts
emotional leadership,Love,Represents the quality or energy of emotional leadership in cardology practice,Core cardology keyword representing essential card energy,Ace of Hearts
emotional magnetism,Love,Represents the quality or energy of emotional magnetism in cardology practice,Core cardology keyword representing essential card energy,Queen of Hearts
emotional mastery,Love,Represents the quality or energy of emotional mastery in cardology practice,Core cardology keyword representing essential card energy,King of Hearts
